,code,area,inner_outer,population,unemployment,active_business,crime,house_price,council_tax,council_rental,greenspace,carbon_emmision,cars,pub_transport,achievement,life,happiness,anxiety,political,coordi,aqi_24
0,E09000001,City of London,Inner London,28.9,.,19250,.,765000,943,.,4.8,1417.5,1692,7.9,78.6,6.59,5.99,5.57,.,"[[51.513988, -0.104885]]","[69, 70, 65, 57, 76, 71, 74, 79, 78, 81, 81, 83, 86, 80, 86, 85, 85, 81, 79, 77, 62, 61, 65, 61]"
1,E09000002,Barking and Dagenham,Outer London,57.3,11,5690,83.4,215000,1332,35.9,33.6,783.2,56966,3.0,58.0,7.14,7.05,3.05,Lab,"[[51.55903, 0.155831]]","[79, 75, 67, 72, 68, 74, 79, 78, 79, 85, 84, 85, 85, 84, 84, 83, 84, 86, 77, 66, 74, 76, 79, 79]"
2,E09000003,Barnet,Outer London,44.5,8.5,24555,62.7,400000,1397,11.1,41.3,1552.7,144717,3.0,67.3,7.48,7.37,2.75,Cons,"[[51.658724, -0.190878]]","[82, 83, 85, 89, 88, 89, 87, 87, 89, 87, 84, 86, 87, 86, 85, 86, 87, 89, 90, 88, 89, 85, 82, 83]"
3,E09000004,Bexley,Outer London,39.9,7.6,8430,51.8,250000,1446,15.2,31.7,1060.9,108507,2.6,60.3,7.38,7.21,3.29,Cons,"[[51.4589, 0.1384]]","[68, 71, 69, 64, 68, 67, 68, 74, 66, 74, 78, 76, 83, 83, 83, 82, 83, 71, 70, 64, 69, 73, 69, 73]"
4,E09000005,Brent,Outer London,76.1,7.5,14680,78.8,385000,1354,20.4,21.9,1292.6,87802,3.7,60.1,7.25,7.22,2.92,Lab,"[[51.62028, 0.305]]","[60, 66, 63, 58, 69, 64, 67, 68, 64, 78, 87, 86, 86, 84, 84, 83, 85, 73, 66, 65, 66, 74, 68, 67]"
5,E09000006,Bromley,Outer London,21.7,5.3,14825,64.1,335000,1325,13.2,57.8,1334.7,153908,2.8,68.0,7.54,7.44,3.26,Cons,"[[51.407, 0.021]]","[70, 74, 73, 67, 72, 59, 74, 74, 76, 83, 78, 83, 78, 82, 81, 81, 82, 84, 76, 66, 64, 74, 74, 72]"
6,E09000007,Camden,Inner London,109.8,4,29020,123.5,675000,1337,34.4,24.8,1540.5,46601,5.7,62.7,7.14,7.11,3.61,Lab,"[[51.5406, -0.1433]]","[74, 71, 71, 69, 71, 69, 75, 69, 73, 68, 69, 71, 72, 87, 79, 81, 84, 75, 76, 75, 70, 69, 70, 69]"
7,E09000008,Croydon,Outer London,44.4,4.1,14400,77,265000,1466,16.7,37.1,1452.2,140049,3.2,57.7,7.1,7.18,3.3,Lab,"[[51.3727, -0.1099]]","[79, 79, 81, 88, 85, 88, 86, 86, 85, 86, 85, 84, 83, 82, 82, 81, 83, 84, 86, 86, 83, 81, 79, 79]"
8,E09000009,Ealing,Outer London,63.5,5.8,17475,75.5,388000,1355,14.3,30.9,1567.3,112845,3.3,62.1,7.29,7.26,3.57,Lab,"[[51.5139, -0.3031]]","[64, 67, 67, 59, 72, 66, 66, 67, 66, 71, 74, 78, 80, 83, 83, 86, 82, 76, 69, 60, 59, 60, 68, 70]"
9,E09000010,Enfield,Outer London,41.0,3.8,13015,69.4,285000,1395,17.2,45.6,1397.5,119653,3.0,59.9,7.26,7.33,2.6,Lab,"[[51.645, -0.06]]","[71, 73, 62, 65, 72, 70, 70, 77, 78, 79, 85, 79, 79, 80, 85, 84, 86, 83, 68, 73, 55, 78, 73, 72]"
